Diwali Date-2020,,PM-2.5,Day-1,Year,Day,,
25/10/19 10:00,25/10/19 11:00,142.07,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 11:00,25/10/19 12:00,125.49,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 12:00,25/10/19 13:00,108.81,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 14:00,25/10/19 15:00,77.52,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 15:00,25/10/19 16:00,81.17,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 16:00,25/10/19 17:00,77.17,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 17:00,25/10/19 18:00,72.25,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 18:00,25/10/19 19:00,85.57,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 19:00,25/10/19 20:00,95.95,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 20:00,25/10/19 21:00,103.57,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 21:00,25/10/19 22:00,114.42,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 22:00,25/10/19 23:00,103.61,2-Day Pre Diwali,2019,2-Day Pre ,,
25/10/19 23:00,26/10/19 0:00,108.83,2-Day Pre Diwali,2019,2-Day Pre ,,
26/10/19 0:00,26/10/19 1:00,109.46,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 1:00,26/10/19 2:00,92.1,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 2:00,26/10/19 3:00,96.48,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 3:00,26/10/19 4:00,87.56,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 4:00,26/10/19 5:00,92.41,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 6:00,26/10/19 7:00,107.36,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 7:00,26/10/19 8:00,108.84,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 8:00,26/10/19 9:00,117.7,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 9:00,26/10/19 10:00,107.99,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 10:00,26/10/19 11:00,72.49,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 11:00,26/10/19 12:00,89.27,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 12:00,26/10/19 13:00,65.78,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 14:00,26/10/19 15:00,22.94,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 15:00,26/10/19 16:00,24.48,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 16:00,26/10/19 17:00,42.47,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 17:00,26/10/19 18:00,53.79,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 18:00,26/10/19 19:00,49.19,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 19:00,26/10/19 20:00,52.52,1-Day Pre Diwali,2019,1-Day Pre ,,
26/10/19 20:00,26/10/19 21:00,88.76,1-Day Pre Diwali,2019,1-Day Pre ,,
